,Value in Billions USD_Export,Value in Billions USD_Import,Quantity in Million Metric Tons_Export,Quantity in Million Metric Tons_Import,Tariff_Rates,Mortgage_Rates,Interest_Rates,Median_Household_Income,Inflation_Rate,GDP
Value in Billions USD_Export,1.0,0.9724904330444817,0.8522795100846824,0.8467379424671804,-0.09508177476687941,0.11509396078413883,-0.16191667300148052,-0.32656980302167316,0.2967013357989654,0.09129958943206753
Value in Billions USD_Import,0.9724904330444817,1.0,0.8527629337413083,0.8783757231449522,-0.035600341130429224,-0.031243695391271642,-0.12357607062604503,-0.1535654089666333,0.4448727509512084,0.3018158782825553
Quantity in Million Metric Tons_Export,0.8522795100846824,0.8527629337413083,1.0,0.8669176619352166,0.06728831316935659,0.05258304800371182,0.1489676471873797,0.028795964530005987,0.11753872924593645,0.18757325703422806
Quantity in Million Metric Tons_Import,0.8467379424671804,0.8783757231449522,0.8669176619352166,1.0,-0.2766481273234185,-0.1553783151845611,-0.035404103995623305,-0.06846827806250762,0.29001307098183776,0.24420337396763211
Tariff_Rates,-0.09508177476687941,-0.035600341130429224,0.06728831316935659,-0.2766481273234185,1.0,0.39074988726407506,0.6874554155941285,0.48930851026209976,0.007882038717714987,0.20283261838112265
Mortgage_Rates,0.11509396078413883,-0.031243695391271642,0.05258304800371182,-0.1553783151845611,0.39074988726407506,1.0,0.4282933744690218,-0.36743642628958595,-0.3662328532109292,-0.6974389461803935
Interest_Rates,-0.16191667300148052,-0.12357607062604503,0.1489676471873797,-0.035404103995623305,0.6874554155941285,0.4282933744690218,1.0,0.6193796963064966,-0.10400090729259097,0.07219812099014508
Median_Household_Income,-0.32656980302167316,-0.1535654089666333,0.028795964530005987,-0.06846827806250762,0.48930851026209976,-0.36743642628958595,0.6193796963064966,1.0,0.30349662369471425,0.7333173249189462
Inflation_Rate,0.2967013357989654,0.4448727509512084,0.11753872924593645,0.29001307098183776,0.007882038717714987,-0.3662328532109292,-0.10400090729259097,0.30349662369471425,1.0,0.7459697283872977
GDP,0.09129958943206753,0.3018158782825553,0.18757325703422806,0.24420337396763211,0.20283261838112265,-0.6974389461803935,0.07219812099014508,0.7333173249189462,0.7459697283872977,1.0
